family,hierarchy,model_a,method_a,model_b,method_b,seed,fold,horizon,relative_mae_diff,rel_ci_low,rel_ci_high,rel_ci_crosses_zero,prob_improvement,p_value_raw
cpu_lightgbm_reconciliation,cpu_core_weighted,lightgbm,bottom_up,lightgbm,independent,1,2,1,-0.11195607588786474,-0.14529773315047104,-0.07491041212115082,False,1.0,0.0
cpu_lightgbm_reconciliation,cpu_core_weighted,lightgbm,bottom_up,lightgbm,independent,2,2,1,-0.11195607588786474,-0.14529773315047104,-0.07491041212115082,False,1.0,0.0
cpu_lightgbm_reconciliation,cpu_core_weighted,lightgbm,bottom_up,lightgbm,independent,0,2,8,-0.09809843903529403,-0.13427687975237543,-0.058183538223792554,False,1.0,0.0
cpu_lightgbm_reconciliation,cpu_core_weighted,lightgbm,bottom_up,lightgbm,independent,1,2,8,-0.09809843903529403,-0.13427687975237543,-0.058183538223792554,False,1.0,0.0
cpu_lightgbm_reconciliation,cpu_core_weighted,lightgbm,bottom_up,lightgbm,independent,2,2,8,-0.09809843903529403,-0.13427687975237543,-0.058183538223792554,False,1.0,0.0
cpu_lightgbm_reconciliation,cpu_core_weighted,lightgbm,bottom_up,lightgbm,independent,0,2,16,-0.11113927801786386,-0.14527075274188253,-0.07514902934416454,False,1.0,0.0
cpu_lightgbm_reconciliation,cpu_core_weighted,lightgbm,bottom_up,lightgbm,independent,1,2,16,-0.11113927801786386,-0.14527075274188253,-0.07514902934416454,False,1.0,0.0
cpu_lightgbm_reconciliation,cpu_core_weighted,lightgbm,bottom_up,lightgbm,independent,2,2,16,-0.11113927801786386,-0.14527075274188253,-0.07514902934416454,False,1.0,0.0
cpu_lightgbm_reconciliation,cpu_core_weighted,lightgbm,wls,lightgbm,independent,0,0,1,-0.09876764591525787,-0.11951816789295366,-0.07832253672809089,False,1.0,0.0
cpu_lightgbm_reconciliation,cpu_core_weighted,lightgbm,wls,lightgbm,independent,1,0,1,-0.09876764591525787,-0.11951816789295366,-0.07832253672809089,False,1.0,0.0
cpu_lightgbm_reconciliation,cpu_core_weighted,lightgbm,wls,lightgbm,independent,2,0,1,-0.09876764591525787,-0.11951816789295366,-0.07832253672809089,False,1.0,0.0
