family,family_size,model_a,method_a,model_b,method_b,fold,horizon,p_value_raw,p_value_holm,holm_rank,reject_holm_0.05,relative_mae_diff_mean,n_seeds
cpu_dlinear_reconciliation,27,dlinear,mint,dlinear,independent,2,16,0.0,0.0,9,True,-0.0509640571974901,3
cpu_dlinear_reconciliation,27,dlinear,wls,dlinear,independent,0,1,0.0,0.0,8,True,-0.0647974820618657,3
cpu_dlinear_reconciliation,27,dlinear,wls,dlinear,independent,0,8,0.0,0.0,7,True,-0.0523988933672964,3
cpu_dlinear_reconciliation,27,dlinear,wls,dlinear,independent,0,16,0.0,0.0,6,True,-0.0575016482167191,3
cpu_dlinear_reconciliation,27,dlinear,wls,dlinear,independent,1,1,0.0,0.0,5,True,-0.0913416551826594,3
cpu_dlinear_reconciliation,27,dlinear,wls,dlinear,independent,1,8,0.0,0.0,4,True,-0.0784089616505856,3
cpu_dlinear_reconciliation,27,dlinear,wls,dlinear,independent,1,16,0.0,0.0,3,True,-0.0811821913853724,3
cpu_dlinear_reconciliation,27,dlinear,wls,dlinear,independent,2,1,0.0,0.0,2,True,-0.0561321369228213,3
cpu_dlinear_reconciliation,27,dlinear,wls,dlinear,independent,2,8,0.0,0.0,13,True,-0.0475804815164114,3
cpu_dlinear_reconciliation,27,dlinear,wls,dlinear,independent,2,16,0.0,0.0,27,True,-0.0494780092593065,3
memory_dlinear_vs_ewma,27,dlinear,independent,ewma,independent,0,1,0.2849333333333333,1.0,14,False,0.0291150875069037,3
memory_dlinear_vs_ewma,27,dlinear,independent,ewma,independent,0,8,0.0010666666666666,0.0287999999999999,1,True,0.1214726427693608,3
memory_dlinear_vs_ewma,27,dlinear,independent,ewma,independent,0,16,0.0014666666666666,0.0381333333333333,2,True,0.067718027395311,3
memory_dlinear_vs_ewma,27,dlinear,independent,ewma,independent,1,1,0.9594666666666668,1.0,27,False,0.0017026551291231,3
memory_dlinear_vs_ewma,27,dlinear,independent,ewma,independent,1,8,0.8102666666666667,1.0,26,False,0.0058999114253853,3
memory_dlinear_vs_ewma,27,dlinear,independent,ewma,independent,1,16,0.3504,1.0,16,False,0.0194294820332093,3
memory_dlinear_vs_ewma,27,dlinear,independent,ewma,independent,2,1,0.4161333333333334,1.0,19,False,0.0167402134013447,3
memory_dlinear_vs_ewma,27,dlinear,independent,ewma,independent,2,8,0.4686666666666666,1.0,20,False,0.0157732141537999,3
memory_dlinear_vs_ewma,27,dlinear,independent,ewma,independent,2,16,0.2802666666666666,1.0,13,False,0.0215471874759108,3
memory_dlinear_vs_ewma,27,dlinear,mint,ewma,independent,0,1,0.5401333333333334,1.0,25,False,0.002940249683791,3
memory_dlinear_vs_ewma,27,dlinear,mint,ewma,independent,0,8,0.3612,1.0,17,False,0.0262496189689068,3
memory_dlinear_vs_ewma,27,dlinear,mint,ewma,independent,0,16,0.3185333333333333,1.0,15,False,0.0240779170286836,3
memory_dlinear_vs_ewma,27,dlinear,mint,ewma,independent,1,1,0.0121333333333333,0.2966666666666666,4,False,-0.0513064087619216,3
memory_dlinear_vs_ewma,27,dlinear,mint,ewma,independent,1,8,0.0336,0.7544000000000001,7,False,-0.0426611052966856,3
memory_dlinear_vs_ewma,27,dlinear,mint,ewma,independent,1,16,0.0349333333333333,0.7544000000000001,8,False,-0.0432978806373511,3
memory_dlinear_vs_ewma,27,dlinear,mint,ewma,independent,2,1,0.5313333333333333,1.0,23,False,0.0128875170389685,3
memory_dlinear_vs_ewma,27,dlinear,mint,ewma,independent,2,8,0.2718666666666666,1.0,12,False,0.0264643619802716,3
memory_dlinear_vs_ewma,27,dlinear,mint,ewma,independent,2,16,0.1530666666666666,1.0,10,False,0.0296746100666647,3
memory_dlinear_vs_ewma,27,dlinear,wls,ewma,independent,0,1,0.5382666666666667,1.0,24,False,0.002445471691724,3
memory_dlinear_vs_ewma,27,dlinear,wls,ewma,independent,0,8,0.5132,1.0,22,False,0.0355929991344805,3
memory_dlinear_vs_ewma,27,dlinear,wls,ewma,independent,0,16,0.3656,1.0,18,False,0.0255000712157318,3
memory_dlinear_vs_ewma,27,dlinear,wls,ewma,independent,1,1,0.0118666666666666,0.2966666666666666,3,False,-0.0514692586252309,3
memory_dlinear_vs_ewma,27,dlinear,wls,ewma,independent,1,8,0.0333333333333333,0.7544000000000001,6,False,-0.0427702555078741,3
memory_dlinear_vs_ewma,27,dlinear,wls,ewma,independent,1,16,0.0328,0.7544000000000001,5,False,-0.0438101520080915,3
memory_dlinear_vs_ewma,27,dlinear,wls,ewma,independent,2,1,0.5013333333333333,1.0,21,False,0.0138300140864054,3
memory_dlinear_vs_ewma,27,dlinear,wls,ewma,independent,2,8,0.2418666666666666,1.0,11,False,0.0282426521799672,3
memory_dlinear_vs_ewma,27,dlinear,wls,ewma,independent,2,16,0.1325333333333333,1.0,9,False,0.0311159871594281,3
memory_dlinear_reconciliation,27,dlinear,bottom_up,dlinear,independent,0,1,0.4038666666666666,1.0,25,False,-0.0142979040215118,3
memory_dlinear_reconciliation,27,dlinear,bottom_up,dlinear,independent,0,8,0.0,0.0,12,True,-0.0983925990184274,3
memory_dlinear_reconciliation,27,dlinear,bottom_up,dlinear,independent,0,16,0.2106666666666666,1.0,22,False,-0.0389624302448818,3
memory_dlinear_reconciliation,27,dlinear,bottom_up,dlinear,independent,1,1,0.0,0.0,11,True,-0.0456219639896563,3
memory_dlinear_reconciliation,27,dlinear,bottom_up,dlinear,independent,1,8,0.0,0.0,10,True,-0.038616274315106,3
