hierarchy,seed,fold,horizon,method,threshold_name,threshold_value,n_peak,peak_mae,signed_bias,max_underpred,pred_to_target_range_ratio
cpu_core_weighted,2,0,16,bottom_up,q95,1468.3999999969562,296,1867.3655084536344,-1503.0100784874926,-6960.924087688349,0.7570997862616827
cpu_core_weighted,2,0,16,wls,q90,1043.5733333087214,563,1120.6522427988257,-749.2348618598621,-6927.364310463954,0.7673403379348592
cpu_core_weighted,2,0,16,wls,q95,1468.3999999969562,296,1829.096702480868,-1419.357209852282,-6927.364310463954,0.7673403379348592
cpu_core_weighted,2,0,16,mint,q90,1043.5733333087214,563,1125.9397913748346,-761.7527354485375,-6935.428791148632,0.7561212155009626
cpu_core_weighted,2,0,16,mint,q95,1468.3999999969562,296,1837.5442294937086,-1439.459159243028,-6935.428791148632,0.7561212155009626
cpu_core_weighted,2,1,1,independent,q90,1107.3999999913692,442,1123.008628542686,-673.4211078817435,-6307.224569174411,1.05848750342598
cpu_core_weighted,2,1,1,independent,q95,1684.729999958847,240,1745.175762104834,-1224.2437803765438,-6307.224569174411,1.05848750342598
cpu_core_weighted,2,1,1,bottom_up,q90,1107.3999999913692,442,1115.9263268820355,-718.6660581194957,-6232.51628132179,0.9716025270766742
cpu_core_weighted,2,1,1,bottom_up,q95,1684.729999958847,240,1730.3636577667814,-1292.2068347272605,-6232.51628132179,0.9716025270766742
cpu_core_weighted,2,1,1,wls,q90,1107.3999999913692,442,1112.5471790686477,-701.506390930893,-6258.393980474429,1.0045546525626394
cpu_core_weighted,2,1,1,wls,q95,1684.729999958847,240,1730.5256612461142,-1266.4310655497056,-6258.393980474429,1.0045546525626394
cpu_core_weighted,2,1,1,mint,q90,1107.3999999913692,442,1112.5308995170928,-701.8272658910198,-6257.910083811696,1.0039384685867603
cpu_core_weighted,2,1,1,mint,q95,1684.729999958847,240,1730.4456774778714,-1266.913056186038,-6257.910083811696,1.0039384685867603
cpu_core_weighted,2,1,8,independent,q90,1105.9466666535784,421,1132.3595875917188,-754.6326772475182,-6334.8807920805775,0.9130723792833314
cpu_core_weighted,2,1,8,independent,q95,1684.9866666241232,230,1767.4142165939759,-1320.2049956920728,-6334.8807920805775,0.9130723792833314
cpu_core_weighted,2,1,8,bottom_up,q90,1105.9466666535784,421,1117.7833819501689,-711.4608924179875,-6268.7515252731355,0.9133441871941653
cpu_core_weighted,2,1,8,bottom_up,q95,1684.9866666241232,230,1730.7191692623683,-1280.8823446727151,-6268.7515252731355,0.9133441871941653
cpu_core_weighted,2,1,8,wls,q90,1105.9466666535784,421,1118.785626532515,-727.7992953033078,-6293.778208971266,0.9132413212327036
cpu_core_weighted,2,1,8,wls,q95,1684.9866666241232,230,1741.6031055781095,-1295.7640392195078,-6293.778208971266,0.9132413212327036
cpu_core_weighted,2,1,8,mint,q90,1105.9466666535784,421,1118.5730940467113,-726.9109379056272,-6292.417449308351,0.9132469142969979
cpu_core_weighted,2,1,8,mint,q95,1684.9866666241232,230,1740.9411482834294,-1294.9548864808055,-6292.417449308351,0.9132469142969979
cpu_core_weighted,2,1,16,independent,q90,1103.5466666898378,387,1098.3885396165201,-673.4482375587265,-6361.142045092741,0.9245935834242838
cpu_core_weighted,2,1,16,independent,q95,1678.6133333214827,207,1722.6435505458494,-1249.7491474181204,-6361.142045092741,0.9245935834242838
cpu_core_weighted,2,1,16,bottom_up,q90,1103.5466666898378,387,1090.520125407194,-711.1530124566668,-6259.628999092184,0.9180016096668749
cpu_core_weighted,2,1,16,bottom_up,q95,1678.6133333214827,207,1699.3771177205806,-1291.9043784998523,-6259.628999092184,0.9180016096668749
cpu_core_weighted,2,1,16,wls,q90,1103.5466666898378,387,1087.2068244770298,-696.9308938246277,-6297.919390344534,0.9204880807584241
cpu_core_weighted,2,1,16,wls,q95,1678.6133333214827,207,1703.2698988588618,-1276.0035622497016,-6297.919390344534,0.9204880807584241
cpu_core_weighted,2,1,16,mint,q90,1103.5466666898378,387,1087.1274070204752,-697.8883530005324,-6295.3416108018355,0.9203206869527601
cpu_core_weighted,2,1,16,mint,q95,1678.6133333214827,207,1702.7098704203277,-1277.0740344358321,-6295.3416108018355,0.9203206869527601
cpu_core_weighted,2,2,1,independent,q90,1174.872469176665,620,1232.8564821435737,-858.378340382858,-6909.963155416269,0.9476020467526817
cpu_core_weighted,2,2,1,independent,q95,1930.676666647816,337,1869.916262091733,-1561.7527300372287,-6909.963155416269,0.9476020467526817
cpu_core_weighted,2,2,1,bottom_up,q90,1174.872469176665,620,1228.0147660996709,-899.00929589203,-6866.5846964891725,0.8351318314428522
