hierarchy,fold,horizon,method,ewma_alpha,ewma_top_mae,comparator,comparator_top_mae,rel_mae_vs_comparator,pct_change_vs_comparator
cpu_core_weighted,1,16,mint,0.9,260.98662133679346,lightgbm,186.48444704527293,1.399508781949165,39.9508781949165
cpu_core_weighted,2,1,independent,0.9,341.92643847281437,persistence,340.98623646102516,1.0027573019414133,0.2757301941413326
cpu_core_weighted,2,1,independent,0.9,341.92643847281437,ridge,326.8086251064241,1.046258917926255,4.625891792625492
cpu_core_weighted,2,1,independent,0.9,341.92643847281437,lightgbm,271.2151801330483,1.2607201348577823,26.072013485778236
cpu_core_weighted,2,1,bottom_up,0.9,341.92643847281437,persistence,340.98623646102516,1.0027573019414133,0.2757301941413326
cpu_core_weighted,2,1,bottom_up,0.9,341.92643847281437,ridge,308.20839706174957,1.1094001387778847,10.940013877788468
cpu_core_weighted,2,1,bottom_up,0.9,341.92643847281437,lightgbm,240.85099284413184,1.4196596594230946,41.96596594230946
cpu_core_weighted,2,1,wls,0.9,341.92643847281454,persistence,340.9862364610251,1.002757301941414,0.2757301941413992
cpu_core_weighted,2,1,wls,0.9,341.92643847281454,ridge,307.47351021177906,1.1120516958918032,11.205169589180318
cpu_core_weighted,2,1,wls,0.9,341.92643847281454,lightgbm,239.8942650916416,1.4253214362677482,42.53214362677482
cpu_core_weighted,2,1,mint,0.9,341.92643847281437,persistence,340.986236461025,1.0027573019414138,0.275730194141377
cpu_core_weighted,2,1,mint,0.9,341.92643847281437,ridge,306.63408509827985,1.1150959892903716,11.509598929037157
cpu_core_weighted,2,1,mint,0.9,341.92643847281437,lightgbm,238.64696078267616,1.4327709741260424,43.277097412604235
cpu_core_weighted,2,8,independent,0.9,342.0799116689226,persistence,340.92440141125576,1.0033893445376265,0.3389344537626515
cpu_core_weighted,2,8,independent,0.9,342.0799116689226,ridge,326.25101835678174,1.0485175292076199,4.851752920761987
cpu_core_weighted,2,8,independent,0.9,342.0799116689226,lightgbm,267.1790064982869,1.2803397847469573,28.03397847469573
cpu_core_weighted,2,8,bottom_up,0.9,342.07991166892253,persistence,340.92440141125576,1.0033893445376263,0.3389344537626293
cpu_core_weighted,2,8,bottom_up,0.9,342.07991166892253,ridge,304.7178883888352,1.1226118475604934,12.261184756049337
cpu_core_weighted,2,8,bottom_up,0.9,342.07991166892253,lightgbm,240.96916301780433,1.419600364564687,41.96003645646871
cpu_core_weighted,2,8,wls,0.9,342.079911668922,persistence,340.9244014112556,1.0033893445376254,0.3389344537625405
cpu_core_weighted,2,8,wls,0.9,342.079911668922,ridge,305.218874272539,1.1207691938587936,12.076919385879359
cpu_core_weighted,2,8,wls,0.9,342.079911668922,lightgbm,238.7570848137472,1.432752925157284,43.275292515728395
cpu_core_weighted,2,8,mint,0.9,342.0799116689227,persistence,340.924401411256,1.0033893445376263,0.3389344537626293
cpu_core_weighted,2,8,mint,0.9,342.0799116689227,ridge,304.01913311828247,1.1251920501195305,12.51920501195305
cpu_core_weighted,2,8,mint,0.9,342.0799116689227,lightgbm,238.3276743501768,1.435334409239868,43.53344092398681
