claim,hierarchy,base_model,horizon,fold,method,threshold,effect,verdict,best_model,lgbm_high_load_mae,best_high_load_mae,aspect
P2,cpu_core_weighted,ridge,1,1,bottom_up,q90,-0.022624434389140302,contradict,,,,
P2,cpu_core_weighted,ridge,1,1,wls,q90,-0.011312217194570096,uncertain,,,,
P2,cpu_core_weighted,ridge,1,1,mint,q90,-0.015837104072398134,uncertain,,,,
P2,cpu_core_weighted,ridge,1,1,bottom_up,q95,-0.01666666666666672,uncertain,,,,
P2,cpu_core_weighted,ridge,1,1,wls,q95,-0.008333333333333415,uncertain,,,,
P2,cpu_core_weighted,ridge,1,1,mint,q95,-0.004166666666666763,uncertain,,,,
P2,cpu_core_weighted,ridge,1,2,bottom_up,q90,-0.003225806451612856,uncertain,,,,
P2,cpu_core_weighted,ridge,1,2,wls,q90,-0.004838709677419284,uncertain,,,,
P2,cpu_core_weighted,ridge,1,2,mint,q90,0.001612903225806539,uncertain,,,,
P2,cpu_core_weighted,ridge,1,2,bottom_up,q95,0.011869436201780381,uncertain,,,,
P2,cpu_core_weighted,ridge,1,2,wls,q95,0.014836795252225476,uncertain,,,,
P2,cpu_core_weighted,ridge,1,2,mint,q95,0.014836795252225476,uncertain,,,,
P2,cpu_core_weighted,ridge,8,0,bottom_up,q90,-0.03765060240963858,contradict,,,,
P2,cpu_core_weighted,ridge,8,0,wls,q90,-0.0060240963855421326,uncertain,,,,
P2,cpu_core_weighted,ridge,8,0,mint,q90,-0.027108433734939763,contradict,,,,
P2,cpu_core_weighted,ridge,8,0,bottom_up,q95,-0.002949852507374562,uncertain,,,,
