hierarchy,base_model,horizon,fold,threshold,method,delta_high_load_mae,rel_delta_high_load_mae,delta_precision,delta_recall,delta_f1,delta_false_alarms_per_day,rel_delta_false_alarms_per_day,delta_signed_peak_bias,delta_peak_magnitude_mae,coherence_independent,coherence_method,coherence_improved,operational_class
cpu_core_weighted,lightgbm,1,0,q95,wls,-0.5749039989489342,-0.09625929682314863,0.03524649808986724,0.07017543859649122,0.050234753624842976,-4.2155348395305055,-0.0571428571428571,0.09320695418068414,-0.5749039989489342,172.09132864608608,0.0,True,operational_improvement
cpu_core_weighted,lightgbm,1,0,q95,mint,-0.592490926571597,-0.09920397156768367,0.032518115942029024,0.07017543859649122,0.04861064205408572,-3.372427871624396,-0.04571428571428556,0.09772182293710152,-0.592490926571597,172.09132864608608,0.0,True,operational_improvement
cpu_core_weighted,lightgbm,1,1,q90,bottom_up,-0.45867723478299505,-0.11018400855326277,0.026187204153305887,0.079185520361991,0.04673905437241954,0.0,0.0,0.8962017106683198,-0.45867723478299505,127.44703509795418,0.0,True,operational_improvement
cpu_core_weighted,lightgbm,1,1,q90,wls,-0.4748324992487256,-0.1140648460204077,0.015484702672722728,0.079185520361991,0.03968761509841123,4.272185345737469,0.04489795918367349,0.5671376172769065,-0.4748324992487256,127.44703509795418,0.0,True,operational_improvement
cpu_core_weighted,lightgbm,1,1,q90,mint,-0.47650923955822044,-0.11446763463643829,0.01453114243811926,0.079185520361991,0.03905394343951396,4.660565831713598,0.048979591836734664,0.5779039235216465,-0.47650923955822044,127.44703509795418,0.0,True,operational_improvement
cpu_core_weighted,lightgbm,1,1,q95,bottom_up,-0.9485486988523384,-0.15404445030004577,0.030455942622950816,0.15833333333333333,0.08506954720331461,4.272185345737469,0.10377358490566044,1.444895663008806,-0.9485486988523384,127.44703509795418,0.0,True,recall_focused_tradeoff
cpu_core_weighted,lightgbm,1,1,q95,wls,-0.7761380062588996,-0.1260449280841169,0.04434419014084512,0.12083333333333335,0.0783673971928096,-0.3883804859761355,-0.009433962264150995,0.9143641144374843,-0.7761380062588996,127.44703509795418,0.0,True,operational_improvement
cpu_core_weighted,lightgbm,1,1,q95,mint,-0.7830958793608405,-0.1271748877145953,0.042132675438596445,0.12083333333333335,0.07706605222734253,0.0,0.0,0.9317220250669109,-0.7830958793608405,127.44703509795418,0.0,True,operational_improvement
cpu_core_weighted,lightgbm,1,2,q90,bottom_up,-0.6103209448009488,-0.1433183043481924,0.06326791186341751,0.01774193548387104,0.0448354829649793,-29.057215959132364,-0.2169811320754717,1.0997723688195842,-0.6103209448009488,171.5725267317513,0.0,True,operational_improvement
cpu_core_weighted,lightgbm,1,2,q90,wls,-0.6517691439892741,-0.15305135656696278,0.04799379724752861,0.02580645161290329,0.03939710427678489,-20.634834521702686,-0.15408805031446537,0.7510930790064485,-0.6517691439892741,171.5725267317513,0.0,True,operational_improvement
cpu_core_weighted,lightgbm,1,2,q90,mint,-0.6714625804317356,-0.15767585772781184,0.057124944021495816,0.024193548387096753,0.044064079591345506,-25.267144312289005,-0.18867924528301883,0.9234181394862415,-0.6714625804317356,171.5725267317513,0.0,True,operational_improvement
cpu_core_weighted,lightgbm,1,2,q95,bottom_up,-1.3505835812895963,-0.20834032757661175,0.04292237442922375,0.12166172106824924,0.08126523186764156,-1.2633572156144552,-0.027522935779816616,1.5488172696159381,-1.3505835812895963,171.5725267317513,0.0,True,operational_improvement
cpu_core_weighted,lightgbm,1,2,q95,wls,-1.2277773723825973,-0.18939630504696137,0.049180327868852514,0.13056379821958453,0.08875044987917524,-2.105595359357416,-0.045871559633027484,1.057769739298693,-1.2277773723825973,171.5725267317513,0.0,True,operational_improvement
cpu_core_weighted,lightgbm,1,2,q95,mint,-1.3490511248524388,-0.20810393163597,0.04840182648401825,0.12759643916913943,0.08696323756564706,-2.105595359357416,-0.045871559633027484,1.3004563508428473,-1.3490511248524388,171.5725267317513,0.0,True,operational_improvement
cpu_core_weighted,lightgbm,8,0,q90,bottom_up,-0.2775855146619586,-0.07462296699556929,0.02932330827067664,0.07530120481927705,0.048076083476438436,-3.8058574839961636,-0.025316455696202562,0.21356810887661526,-0.2775855146619586,171.44483583057644,0.0,True,operational_improvement
cpu_core_weighted,lightgbm,8,0,q90,wls,-0.349450189054191,-0.09394225759994257,0.017360474356623246,0.07981927710843373,0.04226861922809522,4.757321854995183,0.03164556962025306,0.11549324761089408,-0.349450189054191,171.44483583057644,0.0,True,operational_improvement
