experiment_stage,eligible_for_final_claims,target,model,method,threshold_mode,threshold,outer_fold,mae,peak_precision,peak_recall,peak_f1,peak_magnitude_mae,peak_timing_mae_steps,high_load_mae,false_alarms_per_day,n_true_peaks,n_pred_peaks
development,False,machine01_tx_bond0,ridge,point,q90,18.205444444444435,outer_0,44.85616551510368,0.8563869992441421,0.9592651757188498,0.9049114545631681,175.9684294488239,0.11823480432972523,169.62451048761284,395.09385259085957,1252,2646
development,False,machine01_tx_bond0,ridge,point,q95,48.18438888888888,outer_0,44.85616551510368,0.7557346559206448,0.8736263736263736,0.8104155124653739,287.5975102783145,0.2358490566037736,261.39076010225193,267.1326601946504,728,1613
development,False,machine01_tx_bond0,ridge,point,mad,7.051822555560002,outer_0,44.85616551510368,0.46319762739282827,1.0,0.6331306430808918,112.61758608545514,0.01400679117147708,112.61758608545514,1384.0588801487413,2356,7418
development,False,machine01_tx_bond0,lightgbm,point,q90,18.205444444444435,outer_0,47.313497389857524,0.79279643868879,0.9928115015974441,0.88160161589509,177.18845152215187,0.2670957361222848,176.11326619728996,335.7614193644121,1252,2471
development,False,machine01_tx_bond0,lightgbm,point,q95,48.18438888888888,outer_0,47.313497389857524,0.6983523447401775,0.9601648351648352,0.8085938115067722,270.00277237335484,0.42775393419170243,265.0669222376703,240.33736776980314,728,1578
development,False,machine01_tx_bond0,lightgbm,point,mad,7.051822555560002,outer_0,47.313497389857524,0.8636963696369637,0.9974533106960951,0.9257684241456818,120.22155448913465,0.21659574468085108,119.93268130979706,185.92651886628684,2356,3030
development,False,machine01_rx_bond0,persistence,point,q90,17.03222222222222,outer_0,19.905000525807964,1.0,0.9992331288343558,0.9996164173379363,78.70381671542681,0.4834996162701458,78.665101279977,0.0,1304,1303
development,False,machine01_rx_bond0,persistence,point,q95,32.11333333333333,outer_0,19.905000525807964,1.0,0.9986130374479889,0.9993060374739764,119.47903050283169,0.5986111111111111,119.3524561039219,0.520050332927014,721,722
development,False,machine01_rx_bond0,persistence,point,mad,13.94470933333778,outer_0,19.905000525807964,1.0,1.0,1.0,66.9337807354203,0.4358974358974359,66.9337807354203,-1.040100665854028,1638,1634
development,False,machine01_rx_bond0,ridge,point,q90,17.03222222222222,outer_0,16.260608161007188,0.8779946761313221,0.950920245398773,0.91300355533993,61.94924696916633,0.23225806451612904,59.534727134070266,263.66551879399606,1304,2254
development,False,machine01_rx_bond0,ridge,point,q95,32.11333333333333,outer_0,16.260608161007188,0.7824074074074074,0.8488210818307905,0.8142622647525399,103.47427959439815,0.5702614379084967,93.38023660344624,121.69177790492127,721,1080
development,False,machine01_rx_bond0,ridge,point,mad,13.94470933333778,outer_0,16.260608161007188,0.9101707498144024,0.9713064713064713,0.939745354729221,52.041488887077016,0.15021998742928974,50.80935497197221,286.8077586092482,1638,2694
development,False,machine01_rx_bond0,lightgbm,point,q90,17.03222222222222,outer_0,17.19278106402385,0.801980198019802,0.9961656441717791,0.8885876794061387,60.09750754488213,0.3094688221709007,59.928314831933456,266.26577045863115,1304,2323
development,False,machine01_rx_bond0,lightgbm,point,q95,32.11333333333333,outer_0,17.19278106402385,0.6962115796997855,0.9764216366158114,0.8128453308834426,91.13996301562784,0.4758522727272727,90.90308124158807,180.71749069213735,721,1399
development,False,machine01_rx_bond0,lightgbm,point,mad,13.94470933333778,outer_0,17.19278106402385,0.830078125,0.9945054945054945,0.9048828975073814,52.53331644464619,0.283609576427256,52.30388306925308,242.083429977525,1638,2560
development,False,averageRttWithGoogleDns,persistence,point,q90,4.556600000000002,outer_0,0.2731413931926314,1.0,0.9935897435897436,0.9967845659163987,5.688651612903226,0.864516129032258,5.852358974358975,-0.24927141125658628,156,154
development,False,averageRttWithGoogleDns,persistence,point,q95,6.1049,outer_0,0.2731413931926314,1.0,0.9887640449438202,0.9943502824858756,8.409204545454545,0.8522727272727273,8.665584269662922,-0.24927141125658628,89,87
development,False,averageRttWithGoogleDns,persistence,point,mad,2.887269200004447,outer_0,0.2731413931926314,1.0,0.998745294855709,0.9993722536095417,1.7277550251256284,0.7123115577889447,1.7647678795483064,-0.24927141125658628,797,795
development,False,averageRttWithGoogleDns,ridge,point,q90,4.556600000000002,outer_0,0.35306911136897506,0.5048543689320388,0.3076923076923077,0.3823529411764706,14.266236327160998,0.75,6.837894595501409,13.709927619112246,156,103
development,False,averageRttWithGoogleDns,ridge,point,q95,6.1049,outer_0,0.35306911136897506,0.4444444444444444,0.2247191011235955,0.29850746268656714,22.382414499059472,0.45,10.546459597928271,6.231785281414657,89,45
development,False,averageRttWithGoogleDns,ridge,point,mad,2.887269200004447,outer_0,0.35306911136897506,0.3566023166023166,1.0,0.525728597449909,1.702480149259774,0.14554579673776663,1.702480149259774,1415.363073114897,797,6475
development,False,averageRttWithGoogleDns,lightgbm,point,q90,4.556600000000002,outer_0,0.4482428011298185,0.3010752688172043,0.44871794871794873,0.36036036036036034,9.657154789323215,0.7571428571428571,6.837304853083414,52.097724952626535,156,279
development,False,averageRttWithGoogleDns,lightgbm,point,q95,6.1049,outer_0,0.4482428011298185,0.4375,0.25842696629213485,0.32492431886982853,21.604723077732004,0.6956521739130435,10.653110001255166,6.231785281414657,89,48
development,False,averageRttWithGoogleDns,lightgbm,point,mad,2.887269200004447,outer_0,0.4482428011298185,0.4608131997642899,0.9598494353826851,0.6226830757252692,1.893967377150202,0.4091503267973856,1.8362402575084191,655.3345401935653,797,3394
development,False,jitterWithGoogleDns,persistence,point,q90,0.387,outer_0,0.28628376235208003,1.0,1.0,1.0,2.047333884297521,0.7669421487603306,2.047333884297521,-0.49854282251317256,605,603
development,False,jitterWithGoogleDns,persistence,point,q95,0.7431499999999982,outer_0,0.28628376235208003,1.0,1.0,1.0,2.838774535809018,0.8169761273209549,2.838774535809018,-0.49854282251317256,377,375
development,False,jitterWithGoogleDns,persistence,point,mad,0.06392580000444835,outer_0,0.28628376235208003,1.0,1.0,1.0,1.1553084112149532,0.67601246105919,1.1553084112149532,-0.49854282251317256,1284,1282
development,False,jitterWithGoogleDns,ridge,point,q90,0.387,outer_0,0.28041284195434285,0.6386066763425254,0.5768595041322314,0.6061646742101721,2.5941992229702717,0.6561604584527221,1.7760281769172808,84.75227982723933,605,689
development,False,jitterWithGoogleDns,ridge,point,q95,0.7431499999999982,outer_0,0.28041284195434285,0.7342995169082126,0.3978779840848806,0.5161056658442176,4.483053511273664,0.7533333333333333,2.6327196456974225,14.208470441625417,377,207
