experiment_stage,eligible_for_final_claims,family,method,base_model,horizon,outer_fold,machine,mae,mase,mase_valid,nmae_train_range,n_parameters,train_seconds,infer_seconds,n_test
development,False,CU,global_embed,ridge,1,outer_0,machine04,4.49487677710185,2.4921729923800786,True,0.04517968616727756,2753,2.1808257080010662,0.09779679200073588,4847
development,False,CU,global_embed,ridge,1,outer_0,machine05,0.6155780748535618,0.727420875234364,True,0.05976486163554758,2753,2.1808257080010662,0.09779679200073588,4847
development,False,CU,global_embed,ridge,1,outer_0,machine06,0.07138970660863633,1.3096403619578483,True,0.044196786517901376,2753,2.1808257080010662,0.09779679200073588,4847
development,False,CU,global_embed,ridge,1,outer_0,machine07,0.9730527747794786,0.672910736183057,True,0.08106896527013176,2753,2.1808257080010662,0.09779679200073588,4847
development,False,CU,local,ridge,4,outer_0,machine01,3.7059656901823153,1.4182454061556125,True,0.037544255908494424,132,0.003292196286305885,0.0005405000010796357,4606
development,False,CU,local,ridge,4,outer_0,machine02,1.2398840825968063,0.6168364897977032,True,0.08666309479230129,132,0.003292196286305885,0.0005739590014854912,4606
development,False,CU,local,ridge,4,outer_0,machine03,0.8871886177218384,0.8930986282843151,True,0.014548934178535521,132,0.003292196286305885,0.000523374998010695,4606
development,False,CU,local,ridge,4,outer_0,machine04,3.2795499680092433,1.8183381353344692,True,0.03296398225628274,132,0.003292196286305885,0.0005450419994303957,4606
development,False,CU,local,ridge,4,outer_0,machine05,0.6077944979469124,0.7182231202180962,True,0.05900917455724123,132,0.003292196286305885,0.0006228749989531934,4606
development,False,CU,local,ridge,4,outer_0,machine06,0.058339126950547715,1.0702281738552113,True,0.03611727883417556,132,0.003292196286305885,0.0006010840006638318,4606
development,False,CU,local,ridge,4,outer_0,machine07,0.9605001273747366,0.6642300033131614,True,0.08002315340578159,132,0.003292196286305885,0.0006091670002206229,4606
development,False,CU,global_pooled,ridge,4,outer_0,machine01,4.399465838658163,1.6836427362900208,True,0.044569940770049415,132,0.1121812499986845,0.09317033300249022,4606
development,False,CU,global_pooled,ridge,4,outer_0,machine02,1.5093405502335149,0.7508898129940178,True,0.10549705816433731,132,0.1121812499986845,0.09317033300249022,4606
development,False,CU,global_pooled,ridge,4,outer_0,machine03,1.262721072778294,1.2711326943078225,True,0.02070726044803826,132,0.1121812499986845,0.09317033300249022,4606
development,False,CU,global_pooled,ridge,4,outer_0,machine04,3.476589083851755,1.9275859717705492,True,0.0349444960407301,132,0.1121812499986845,0.09317033300249022,4606
development,False,CU,global_pooled,ridge,4,outer_0,machine05,0.6356243997508317,0.751109365448174,True,0.0617111067711814,132,0.1121812499986845,0.09317033300249022,4606
development,False,CU,global_pooled,ridge,4,outer_0,machine06,0.07001285550293442,1.284382101823531,True,0.04334438920074694,132,0.1121812499986845,0.09317033300249022,4606
development,False,CU,global_pooled,ridge,4,outer_0,machine07,1.0660613654765076,0.7372304533242678,True,0.0888178874298267,132,0.1121812499986845,0.09317033300249022,4606
development,False,CU,global_onehot,ridge,4,outer_0,machine01,3.853668323913519,1.474770101546427,True,0.03904059611851135,160,0.12368174999937764,0.09531529199739452,4606
development,False,CU,global_onehot,ridge,4,outer_0,machine02,1.458586873734565,0.7256400980445592,True,0.10194957276693295,160,0.12368174999937764,0.09531529199739452,4606
