base_model,horizon,reconciliation_method,nonnegative,fold,mae_machine01_UM,mae_machine02_UM,mae_machine03_UM,mae_machine04_UM,mae_machine05_UM,mae_machine06_UM,mae_machine07_UM,macro_machine_mae,weighted_machine_mae,worst_machine_mae,best_machine_mae,machines_improved_vs_ind,machines_degraded_vs_ind,top_mae
ridge,16,wls,False,0,471586594.9852422,234392247.51196113,554703099.8890121,433185633.1126734,60873655.22775038,5208698.068570271,107813310.67724298,266823319.9246361,223765696.94971105,554703099.8890121,5208698.068570271,2,5,1273487701.6344788
ridge,16,mint,False,0,466363499.6876926,232394272.6019029,553536332.6715086,432140675.94876754,60821198.12784564,5212233.185426623,107169408.73096114,265376802.99344355,222425955.3337836,553536332.6715086,5212233.185426623,2,5,1269524914.2103639
lightgbm,1,independent,False,0,744642577.7968938,595184971.3024899,484408329.7073844,434924791.3932792,91413703.82213628,10662936.476928847,1186296378.234332,506790526.9619207,469267932.2761948,1186296378.234332,10662936.476928847,0,0,1848635679.4026902
lightgbm,1,bottom_up,False,0,744642577.7968938,595184971.3024899,484408329.7073844,434924791.3932792,91413703.82213628,10662936.476928847,1186296378.234332,506790526.9619207,469267932.2761948,1186296378.234332,10662936.476928847,0,0,2075080793.3826785
lightgbm,1,wls,False,0,744239013.0301677,593827195.7702782,600273706.3443137,434252294.40614957,91415858.37312417,10662984.171288386,1185538040.141952,522887013.1767534,484708473.642953,1185538040.141952,10662984.171288386,4,3,1868845404.0685003
lightgbm,1,mint,False,0,767861465.4476892,593904046.1829299,668851862.2867097,434014786.1918454,91406924.81410441,10663138.184867727,1185513850.6278994,536030867.676578,497590915.4598068,1185513850.6278994,10663138.184867727,4,3,1832887965.9285433
persistence,1,independent,False,0,427187034.20009667,161552380.5355244,418972285.46350896,428567797.97776705,65390985.46544224,5845676.481391977,92111389.94296762,228518221.43809983,188043701.38596216,428567797.97776705,5845676.481391977,0,0,1294154012.0869985
persistence,1,bottom_up,False,0,427187034.20009667,161552380.5355244,418972285.46350896,428567797.97776705,65390985.46544224,5845676.481391977,92111389.94296762,228518221.43809983,188043701.38596216,428567797.97776705,5845676.481391977,0,0,1294154012.0869985
persistence,1,wls,False,0,427187034.2040068,161552380.53605923,418972285.4640817,428567797.97780174,65390985.46543195,5845676.481391766,92111389.94296166,228518221.43881926,188043701.38668662,428567797.97780174,5845676.481391766,3,4,1294154012.0865586
persistence,1,mint,False,0,427187034.1870127,161552380.5355395,418972285.44812137,428567797.97819114,65390985.4654241,5845676.481391611,92111389.9429664,228518221.43409243,188043701.3819331,428567797.97819114,5845676.481391611,5,2,1294154012.0890834
ridge,1,independent,False,0,431364487.1115283,230515824.39887717,559235518.7529912,438174764.57702976,60770321.31929644,5206775.023727161,106869919.74479176,261733944.41832024,218129331.6554483,559235518.7529912,5206775.023727161,0,0,1358694507.6124406
ridge,1,bottom_up,False,0,431364487.1115283,230515824.39887717,559235518.7529912,438174764.57702976,60770321.31929644,5206775.023727161,106869919.74479176,261733944.41832024,218129331.6554483,559235518.7529912,5206775.023727161,0,0,1263401149.574385
ridge,1,wls,False,0,451372155.00866246,231261998.37323385,545227534.6865411,433258078.3627446,60767908.09514306,5206878.795829526,107054168.72285607,262021246.0064301,219006625.46121138,545227534.6865411,5206878.795829526,3,4,1272483790.1684682
ridge,1,mint,False,0,448045837.1443784,230943061.6186683,545639721.5498856,434334182.87340605,60767138.43807324,5207276.049724806,106942864.39798288,261697154.58173132,218580714.1197467,545639721.5498856,5207276.049724806,3,4,1269417331.1720374
lightgbm,8,independent,False,0,768314281.9730136,576108103.0190681,482459639.59060127,422688790.7335386,109572097.30072917,10541962.355750192,1174995716.2805135,506382941.607602,469080802.04342926,1174995716.2805135,10541962.355750192,0,0,1526324191.3500135
lightgbm,8,independent,True,0,768314281.9730136,576108103.0190681,482459639.59060127,422688790.7335386,109572097.30072917,10541962.355750192,1174995716.2805135,506382941.607602,469080802.04342926,1174995716.2805135,10541962.355750192,0,0,2008866215.1720126
