family,base_model,horizon,outer_fold,machine,method,mae,mae_vs_local,mae_rel
CU,ridge,1,outer_0,machine06,global_residual,0.058104256772343814,-6.150702640400629e-07,0.9999894144803261
CU,ridge,1,outer_0,machine06,global_embed,0.07138970660863633,0.013284834766028479,1.2286354714285217
CU,ridge,1,outer_0,machine07,local,0.9562680250611617,0.0,1.0
CU,ridge,1,outer_0,machine07,global_pooled,1.062510517293627,0.1062424922324654,1.1111011656231737
CU,ridge,1,outer_0,machine07,global_onehot,1.0311315789837698,0.07486355392260813,1.0782872081473391
CU,ridge,1,outer_0,machine07,global_residual,0.9562679352697954,-8.979136634224005e-08,0.9999999061023018
CU,ridge,1,outer_0,machine07,global_embed,0.9730527747794786,0.016784749718316894,1.017552348586834
CU,ridge,1,outer_1,machine01,local,2.5473387960935474,0.0,1.0
CU,ridge,1,outer_1,machine01,global_pooled,3.5150269759704256,0.9676881798768782,1.3798820091622164
CU,ridge,1,outer_1,machine01,global_onehot,2.6613414975386136,0.11400270144506619,1.0447536470688132
CU,ridge,1,outer_1,machine01,global_residual,2.5473388440849196,4.799137220956595e-08,1.0000000188398073
CU,ridge,1,outer_1,machine01,global_embed,2.949117430133029,0.40177863403948155,1.1577248517769314
CU,ridge,1,outer_1,machine02,local,1.2773741359418702,0.0,1.0
CU,ridge,1,outer_1,machine02,global_pooled,1.5232692008744226,0.24589506493255242,1.1925004256887055
CU,ridge,1,outer_1,machine02,global_onehot,1.4703052868431177,0.19293115090124746,1.1510373080780987
CU,ridge,1,outer_1,machine02,global_residual,1.2773739037890333,-2.3215283695421363e-07,0.9999998182577599
CU,ridge,1,outer_1,machine02,global_embed,1.203657941930763,-0.0737161940111073,0.9422908356002114
CU,ridge,1,outer_1,machine03,local,0.7581551103639058,0.0,1.0
CU,ridge,1,outer_1,machine03,global_pooled,1.0506075444535687,0.2924524340896629,1.385742218303177
CU,ridge,1,outer_1,machine03,global_onehot,1.0438601455911014,0.2857050352271956,1.3768424578580767
CU,ridge,1,outer_1,machine03,global_residual,0.7581554994919302,3.8912802435842053e-07,1.0000005132564815
CU,ridge,1,outer_1,machine03,global_embed,0.8381120581816189,0.07995694781771312,1.10546251911345
CU,ridge,1,outer_1,machine04,local,2.444347119635877,0.0,1.0
CU,ridge,1,outer_1,machine04,global_pooled,2.587542692335826,0.1431955726999492,1.058582339451559
CU,ridge,1,outer_1,machine04,global_onehot,2.5494494988291265,0.10510237919324972,1.042998139809581
CU,ridge,1,outer_1,machine04,global_residual,2.4443470076982683,-1.1193760851568868e-07,0.9999999542055187
CU,ridge,1,outer_1,machine04,global_embed,3.549930205618953,1.105583085983076,1.452301997986182
CU,ridge,1,outer_1,machine05,local,0.600176502888012,0.0,1.0
CU,ridge,1,outer_1,machine05,global_pooled,0.6307488601982699,0.03057235731025787,1.0509389440658632
CU,ridge,1,outer_1,machine05,global_onehot,0.6332079298904931,0.03303142700248107,1.0550361882605133
CU,ridge,1,outer_1,machine05,global_residual,0.60017641325719,-8.963082209767492e-08,0.9999998506592283
CU,ridge,1,outer_1,machine05,global_embed,0.6081105943560297,0.007934091468017601,1.0132195969516289
CU,ridge,1,outer_1,machine06,local,0.07863387329695112,0.0,1.0
CU,ridge,1,outer_1,machine06,global_pooled,0.15099046239637584,0.07235658909942472,1.920170736422699
CU,ridge,1,outer_1,machine06,global_onehot,0.1561575346816313,0.07752366138468017,1.9858812510980048
CU,ridge,1,outer_1,machine06,global_residual,0.07863189250718575,-1.9807897653767448e-06,0.999974809968245
CU,ridge,1,outer_1,machine06,global_embed,0.15546156478476394,0.07682769148781282,1.9770304865650268
CU,ridge,1,outer_1,machine07,local,0.9810466324517234,0.0,1.0
CU,ridge,1,outer_1,machine07,global_pooled,1.05617995285266,0.07513332040093668,1.0765848614282196
